City,Industry,Average_Salary
Aiken,"Cultural Heritage",30000.0000
Aiken,"Engineering or Manufacturing",70000.0000
Aiken,"National laboratory",115000.0000
Aiken,Retail,29640.0000
"Ainsworth ","Health care",33800.0000
Airdrie,"Education (Primary/Secondary)",54000.0000
Akron,"Accounting, Banking & Finance",66000.0000
Akron,Computing/Tech,74500.0000
Akron,"Education (Higher Education)",36750.0000
Akron,"Engineering or Manufacturing",86000.0000
Akron,"Government and Public Administration",53017.6667
Akron,"Health care",52306.6667
Akron,Nonprofits,93000.0000
Akron,"Utilities & Telecommunications",54000.0000
"Al Khobar","Oil and Gas",107045.0000
Alabama,"Art & Design",64000.0000
"Alabama ",Computing/Tech,35000.0000
Alameda,Beauty,72800.0000
Alameda,Biotech,93000.0000
Alameda,"Engineering or Manufacturing",112333.3333
Alamogordo,"Education (Primary/Secondary)",60000.0000
"Alamogordo ",Nonprofits,42000.0000
Albany,"Accounting, Banking & Finance",70000.0000
Albany,Computing/Tech,88327.2500
Albany,"Education (Higher Education)",51461.1111
Albany,"Education (Primary/Secondary)",47333.3333
Albany,"Engineering or Manufacturing",79784.8000
Albany,Entertainment,14000.0000
Albany,"Fast food",31200.0000
Albany,"Government and Public Administration",78168.4118
Albany,"Health care",102580.0000
Albany,Law,85500.0000
Albany,"Learning and Development",62000.0000
Albany,Library,60000.0000
Albany,"Marketing, Advertising & PR",106000.0000
Albany,"Media & Digital",125000.0000
Albany,Nonprofits,62641.6667
Albany,Pharmaceutical,64000.0000
Albany,Pharmaceutical/Biotechnology,125760.0000
albany,Retail,35360.0000
Albany,"Transport or Logistics",80700.0000
Albany,Unknown,36000.0000
Albany,"Utilities & Telecommunications",60900.0000
"Albany ","Business or Consulting",66250.0000
"Albany ","Government and Public Administration",95000.0000
Albemarle,"Government and Public Administration",62000.0000
Alberta,"Accounting, Banking & Finance",52500.0000
Alberta,"Business or Consulting",80000.0000
Alberta,Retail,55000.0000
Alberta,"Utilities & Telecommunications",54400.0000
Albuquerque,"Accounting, Banking & Finance",64500.0000
Albuquerque,Architecture,60000.0000
Albuquerque,"Business or Consulting",89000.0000
Albuquerque,Computing/Tech,107150.0000
Albuquerque,"Education (Higher Education)",64000.0000
Albuquerque,"Education (Primary/Secondary)",46205.5000
Albuquerque,"Engineering or Manufacturing",96333.3333
Albuquerque,"Government and Public Administration",82118.3333
Albuquerque,"Health care",60046.6667
Albuquerque,Insurance,78833.3333
Albuquerque,Law,58840.0000
Albuquerque,Library,49500.0000
Albuquerque,Nonprofits,43500.0000
Albuquerque,"Property or Construction",67500.0000
Albuquerque,Retail,20800.0000
Albuquerque,"Social Work",47500.0000
Albuquerque,"Staffing agency",131000.0000
Albuquerque,"Transport or Logistics",99166.6667
"Albuquerque ","Accounting, Banking & Finance",55000.0000
"Albuquerque ","Business or Consulting",70000.0000
"Albuquerque ","Education (Higher Education)",85000.0000
"Albuquerque ","Engineering or Manufacturing",91000.0000
"Albuquerque ","Government and Public Administration",102000.0000
"Albuquerque ","Health care",74333.3333
"Albuquerque ",Insurance,39998.0000
"Albuquerque ",Law,120000.0000
"Albuquerque ",Nonprofits,36900.0000
"Albuquerque ",Retail,44033.5000
"Albuquerque ","Utilities & Telecommunications",113500.0000
Aldie,"Education (Primary/Secondary)",63000.0000
"Aldie ","Education (Primary/Secondary)",37400.0000
Alexandria,"Accounting, Banking & Finance",113000.0000
Alexandria,"Art & Design",64000.0000
Alexandria,"Association Management",67000.0000
Alexandria,"Business or Consulting",96100.0000
Alexandria,Computing/Tech,107166.6667
Alexandria,"Defense Contractor",115000.0000
Alexandria,"Education (Higher Education)",51000.0000
Alexandria,"Education (Primary/Secondary)",105000.0000
Alexandria,"Engineering or Manufacturing",98581.2500
Alexandria,"Government and Public Administration",105417.7500
Alexandria,"Health care",111875.0000
Alexandria,"Hospitality & Events",62000.0000
Alexandria,"Information Services",77200.0000
Alexandria,"Instructional Design",104000.0000
Alexandria,Insurance,41447.0000
Alexandria,Law,121500.0000
Alexandria,"Marketing, Advertising & PR",76625.0000
Alexandria,"Media & Digital",144000.0000
Alexandria,Nonprofits,83263.1579
Alexandria,Politics,45000.0000
Alexandria,"Professional Services",56500.0000
Alexandria,"Public Library",58000.0000
Alexandria,Publishing,62000.0000
Alexandria,Recruitment,63000.0000
Alexandria,"Science ",160000.0000
Alexandria,"Trade Association",67000.0000
"Alexandria ","Accounting, Banking & Finance",45000.0000
"Alexandria ",Computing/Tech,99600.0000
"Alexandria ","Education (Primary/Secondary)",111340.0000
"Alexandria ","Engineering or Manufacturing",92000.0000
"Alexandria ","Government and Public Administration",98827.0000
"Alexandria ","Health care",98000.0000
"Alexandria ",Law,97000.0000
"Alexandria ",Nonprofits,150000.0000
"Alexandria ","Property or Construction",72000.0000
Algonac,"Engineering or Manufacturing",54080.0000
"Alice Springs ","Social Work",78000.0000
"Aliso Viejo",Computing/Tech,162390.0000
"Aliso Viejo","Engineering or Manufacturing",133400.0000
"Aliso Viejo","Health care",108000.0000
"Aliso Viejo",Veterinary,34000.0000
"Aliso Viejo","Video games",70000.0000
Allegan,Library,44335.0000
Allen,Computing/Tech,91500.0000
Allen,"Education (Higher Education)",52798.0000
Allen,"Health care",65000.0000
Allen,"Utilities & Telecommunications",95900.0000
"Allen Park","Education (Primary/Secondary)",48809.0000
Allendale,"Education (Higher Education)",50000.0000
Allentown,"Accounting, Banking & Finance",74000.0000
Allentown,"Engineering or Manufacturing",96500.0000
Allentown,"Health care",96000.0000
Allentown,Insurance,67000.0000
Allentown,Nonprofits,47000.0000
Allentown,Recruitment,110000.0000
Allentown,"Transport or Logistics",33800.0000
Allentown,"Utilities & Telecommunications",75000.0000
"Allentown ","Leisure, Sport & Tourism",34500.0000
Alma,"Health care",66300.0000
Alpharetta,Computing/Tech,124933.3333
Alpharetta,"Government and Public Administration",45000.0000
Alpharetta,"Health care",110000.0000
Alpharetta,Nonprofits,70000.0000
Alpharetta,Recruitment,66000.0000
Alpharetta,Retail,55000.0000
Alpharetta,"Transport or Logistics",45000.0000
Alpharetta,"Utilities & Telecommunications",118000.0000
"Alpharetta ","Health care",40770.0000
"Alpharetta ",Unknown,120000.0000
"Alpharetta ","Utilities & Telecommunications",60000.0000
Alsace,"Business or Consulting",65000.0000
Altadena,Construction,62400.0000
"Altamonte Springs",Retail,31200.0000
Alton,"Accounting, Banking & Finance",97000.0000
Alton,"Property or Construction",21840.0000
"Alton ","Social Work",39000.0000
Altus,Insurance,31200.0000
Alvarado,"Education (Primary/Secondary)",53000.0000
Amarillo,Computing/Tech,70662.0000
Amarillo,"Education (Higher Education)",49000.0000
Amarillo,Recruitment,90000.0000
Amarillo,"Transport or Logistics",78000.0000
Amarillo,"Utilities & Telecommunications",104269.0000
Ambler,"Engineering or Manufacturing",76900.0000
Ambler,"Property or Construction",72000.0000
"American Fork","Marketing, Advertising & PR",92000.0000
Amersfoort,Publishing,41877.0000
Ames,"Art & Design",50000.0000
Ames,"Education (Higher Education)",62229.8000
Ames,"Government and Public Administration",68110.0000
Ames,Nonprofits,45520.0000
Ames,"Transport or Logistics",36000.0000
Amesbury,Library,65000.0000
Amherst,"Agriculture or Forestry",56000.0000
Amherst,"Education (Higher Education)",45440.0000
Amherst,"Engineering or Manufacturing",42000.0000
Amherst,Law,90000.0000
Amityville,"Engineering or Manufacturing",37440.0000
Ammon,"Business or Consulting",34000.0000
Ammon,"Education (Primary/Secondary)",46000.0000
Amory,"Media & Digital",32000.0000
Amsterdam,"Accounting, Banking & Finance",71600.0000
Amsterdam,Biotech,61500.0000
Amsterdam,"Business or Consulting",72000.0000
Amsterdam,Computing/Tech,70498.6471
Amsterdam,"Engineering or Manufacturing",50000.0000
Amsterdam,Entertainment,60000.0000
Amsterdam,"Government and Public Administration",65000.0000
Amsterdam,Insurance,72800.0000
Amsterdam,"Marketing, Advertising & PR",65466.6667
Amsterdam,"Media & Digital",78000.0000
Amsterdam,"Renewable Energy",72000.0000
Amsterdam,Sales,29965.0000
Amsterdam,"Social work",33048.0000
"Amsterdam ",Computing/Tech,59000.0000
"Amsterdam ","Engineering or Manufacturing",84000.0000
"Amsterdam ","FMCG development",75000.0000
"Amsterdam ","Health care",72500.0000
Anaconda,"Health care",72000.0000
Anacortes,"Accounting, Banking & Finance",55000.0000
Anaheim,"Accounting, Banking & Finance",45760.0000
Anaheim,"Education (Primary/Secondary)",80000.0000
Anaheim,Insurance,54080.0000
Anaheim,"Marketing, Advertising & PR",79500.0000
Anaheim,Nonprofits,120000.0000
Anaheim,"Property or Construction",66500.0000
Anchorage,"Accounting, Banking & Finance",111866.6667
Anchorage,Computing/Tech,67000.0000
Anchorage,"Engineering or Manufacturing",88481.0000
Anchorage,"Environmental Consulting",68000.0000
Anchorage,Fundraising,95000.0000
Anchorage,"Government and Public Administration",72273.3333
Anchorage,"Government Contractor",130800.0000
Anchorage,"Health care",111333.3333
Anchorage,Law,75000.0000
Anchorage,Library,62000.0000
Anchorage,Nonprofits,69666.6667
Anchorage,Research,94000.0000
Anchorage,Retail,50000.0000
Anchorage,Sales,90000.0000
Anchorage,Unions,72800.0000
"Anchorage ","Education (Higher Education)",64000.0000
"Anchorage ","Government and Public Administration",63000.0000
"Anchorage ","Health care",71040.0000
"Anchorage ",Nonprofits,27040.0000
"Anchorage ","Social Work",51000.0000
"Anchorage ","Utilities & Telecommunications",44000.0000
Anderson,Computing/Tech,40000.0000
Anderson,"Education (Higher Education)",51000.0000
"Anderson ","Transport or Logistics",60000.0000
Andover,"Accounting, Banking & Finance",64200.0000
Andover,Computing/Tech,139000.0000
Andover,"Education (Primary/Secondary)",101000.0000
Andover,"Engineering or Manufacturing",101800.0000
Andover,"Health care",69000.0000
Andover,Pharmaceutical,116358.0000
"Andover ","Education (Higher Education)",81600.0000
Ankeny,Computing/Tech,47840.0000
Ankeny,"Engineering or Manufacturing",58000.0000
"Ann Arbor",Academic,68500.0000
"Ann Arbor","Accounting, Banking & Finance",89000.0000
"Ann Arbor","Art & Design",31200.0000
"Ann Arbor",Biotech,80975.0000
"Ann Arbor","Business or Consulting",90000.0000
"Ann Arbor",Computing/Tech,108459.9091
"Ann Arbor","Education (Higher Education)",65842.3333
"Ann Arbor","Education (Primary/Secondary)",38000.0000
"Ann Arbor","Engineering or Manufacturing",92216.6667
"Ann Arbor","Government and Public Administration",113500.0000
"Ann Arbor","Health care",70115.6250
"Ann Arbor",Library,24252.0000
"Ann Arbor","Media & Digital",70500.0000
"Ann Arbor",Nonprofits,44572.0000
"ann arbor","Public Health Research",76000.0000
"Ann Arbor",Publishing,38500.0000
"Ann Arbor",Recruitment,91300.0000
"Ann Arbor",Retail,25000.0000
"Ann Arbor",Sales,105000.0000
"Ann Arbor","Social Work",55000.0000
"Ann Arbor ","Education (Higher Education)",75000.0000
"Ann Arbor ","Education (Primary/Secondary)",14000.0000
"Ann Arbor ","Leisure, Sport & Tourism",54000.0000
"Ann Arbor ",Nonprofits,48000.0000
Annandale,"Government and Public Administration",125000.0000
Annandale,Nonprofits,47000.0000
Annapolis,"Accounting, Banking & Finance",85000.0000
Annapolis,Computing/Tech,138000.0000
Annapolis,"Education (Higher Education)",96250.0000
Annapolis,"Engineering or Manufacturing",97000.0000
Annapolis,"Government and Public Administration",65723.5000
Annapolis,"Health care",86000.0000
Annapolis,Insurance,96000.0000
Annapolis,Law,89000.0000
Annapolis,Nonprofits,66000.0000
"Annapolis ",Entertainment,12000.0000
"Annapolis ","Government and Public Administration",60500.0000
"Annapolis Junction","Government and Public Administration",113000.0000
"Annapolis Valley",Computing/Tech,170000.0000
Annecy,Translation,22800.0000
Anonymous,"Education (Higher Education)",82000.0000
Anonymous,Library,48028.0000
"Anonymous ","Education (Primary/Secondary)",83000.0000
"Anonymous ","Government and Public Administration",86000.0000
"Antrim ","Health care",18200.0000
Antwerpen,"Agriculture or Forestry",87500.0000
Antwerpen,"Business or Consulting",63560.0000
Antwerpen,Mining,73000.0000
"Apache Junction",Computing/Tech,116000.0000
"Apache Junction ",Nonprofits,31824.0000
Apex,Retail,64300.0000
"Apple Valley","Accounting, Banking & Finance",85000.0000
"Apple Valley","Education (Primary/Secondary)",53000.0000
Appleton,"Education (Higher Education)",46500.0000
Appleton,"Engineering or Manufacturing",80000.0000
Appleton,Nonprofits,72500.0000
Appleton,"Social Work",50000.0000
"Appleton ","Accounting, Banking & Finance",62000.0000
"Appleton ","Business or Consulting",90000.0000
"Appleton ","Health care",64105.0000
"Appleton ",Retail,46000.0000
"Appleton ","Social Work",52400.0000
Arcadia,"Accounting, Banking & Finance",88000.0000
Arden,Sales,40300.0000
Ardmore,Library,26000.0000
Ardrossan,"Education (Primary/Secondary)",47000.0000
Arhus,Computing/Tech,64000.0000
Arkadelphia,Law,35000.0000
Arles,"Education (Primary/Secondary)",34000.0000
Arlington,"Accounting, Banking & Finance",98666.6667
Arlington,"Business or Consulting",96625.0000
Arlington,"Communication Research",90456.0000
Arlington,Computing/Tech,117370.0588
Arlington,"Education (Higher Education)",42000.0000
Arlington,"Education (Primary/Secondary)",58000.0000
Arlington,"Engineering or Manufacturing",98500.0000
Arlington,Entertainment,54000.0000
Arlington,"Government and Public Administration",104695.5000
Arlington,"Government Contractor",68000.0000
Arlington,"Health care",105725.0000
Arlington,Insurance,60000.0000
Arlington,Law,163000.0000
Arlington,"Leisure, Sport & Tourism",45000.0000
Arlington,Library,63000.0000
Arlington,Marketing,70000.0000
Arlington,"Marketing, Advertising & PR",53889.6667
Arlington,"Media & Digital",88500.0000
Arlington,Nonprofits,83715.4762
Arlington,"Political Campaigns",40000.0000
Arlington,Recruitment,55000.0000
Arlington,"Religious institute",54080.0000
Arlington,"Social Work",70000.0000
Arlington,"Think tank",90280.0000
Arlington,"Transport or Logistics",57340.0000
Arlington,"Utilities & Telecommunications",112400.0000
"Arlington ","Business or Consulting",116466.6667
"Arlington ",Computing/Tech,102500.0000
"Arlington ","Government and Public Administration",91000.0000
"Arlington ",Insurance,60000.0000
"Arlington ",Recruitment,130000.0000
"Arlington ","Utilities & Telecommunications",102000.0000
"Arlington Heights","Accounting, Banking & Finance",60000.0000
"Arlington Heights","Business or Consulting",40000.0000
"Arlington Heights","Public Policy",82550.0000
Arnold,"Education (Higher Education)",80000.0000
"Arroyo Grande","Accounting, Banking & Finance",75000.0000
"Arroyo Grande","Marketing, Advertising & PR",50000.0000
Arvada,Biotech,82000.0000
Arvada,"Education (Higher Education)",59280.0000
"Arvada ",Recruitment,107000.0000
"Asbury Park","Media & Digital",73000.0000
Ashburn,"Government and Public Administration",86500.0000
"Ashburn ","Art & Design",54000.0000
"Ashburn ",Computing/Tech,120000.0000
Asheboro,"Education (Primary/Secondary)",54000.0000
Asheville,"Art & Design",63000.0000
Asheville,"Business or Consulting",51000.0000
Asheville,Computing/Tech,115250.0000
Asheville,"Education (Higher Education)",145000.0000
Asheville,"Engineering or Manufacturing",80000.0000
Asheville,"Government and Public Administration",71000.0000
Asheville,"Health care",90000.0000
Asheville,Retail,26000.0000
"Asheville ",Computing/Tech,64500.0000
"Asheville ",Nonprofits,35211.0000
"Asheville ","Property or Construction",95000.0000
"Asheville ","Science ",76000.0000
"Ashford ","Engineering or Manufacturing",23000.0000
Ashland,"Accounting, Banking & Finance",106600.0000
Ashland,"Education (Primary/Secondary)",55200.0000
Ashland,"Health care",43680.0000
Ashland,Insurance,27000.0000
Ashland,Manufacturing,60800.0000
Ashland,Nonprofits,33050.0000
Ashland,Wholesale,90000.0000
Asmara,"Government and Public Administration",98000.0000
Aspen,"Hospitality & Events",107000.0000
Aspen,"Property or Construction",65000.0000
Aston,Manufacturing,70000.0000
Athens,Academic,32000.0000
Athens,"Accounting, Banking & Finance",80530.0000
Athens,Computing/Tech,49000.0000
Athens,"Education (Higher Education)",58799.8182
Athens,"Engineering or Manufacturing",37000.0000
Athens,"Government and Public Administration",34000.0000
Athens,"Health care",43680.0000
Athens,"Marketing, Advertising & PR",33000.0000
Athens,"Property or Construction",67500.0000
Athens,"Public Library",40000.0000
Athens,Recruitment,16800.0000
Athens,Retail,31200.0000
Athens,"Utilities & Telecommunications",10800.0000
"Athens ","Education (Higher Education)",64000.0000
"Athens ","Education (Primary/Secondary)",50000.0000
Athlone,"Marketing, Advertising & PR",45000.0000
Athol,Nonprofits,42500.0000
Atlanta,"Accounting, Banking & Finance",96020.0000
Atlanta,"Art & Design",70800.0000
Atlanta,"Awards and engraving",35000.0000
Atlanta,"Business or Consulting",103414.0417
Atlanta,"College Student",37500.0000
Atlanta,"Commercial Real Estate",75000.0000
Atlanta,Computing/Tech,106492.0862
Atlanta,Consulting,37500.0000
Atlanta,CPG,68000.0000
Atlanta,"Education (Higher Education)",76840.0000
Atlanta,"Education (Primary/Secondary)",56116.6667
Atlanta,"Engineering or Manufacturing",87983.6000
Atlanta,Entertainment,78000.0000
Atlanta,"Environmental Consulting",105000.0000
Atlanta,"Government and Public Administration",93966.4737
Atlanta,"Graduate Student",2350.0000
Atlanta,"Health care",99447.5000
Atlanta,"Hospitality & Events",110500.0000
Atlanta,"Human Capital Management",108000.0000
Atlanta,Insurance,94324.2857
atlanta,"Interior Design & Architecture",40000.0000
Atlanta,Law,96821.4286
Atlanta,Library,68100.0000
Atlanta,"Marketing, Advertising & PR",81681.2500
Atlanta,"Media & Digital",90000.0000
Atlanta,Nonprofits,61336.9565
Atlanta,"Political Campaigns",72000.0000
Atlanta,"Private Equity",75000.0000
Atlanta,"Property or Construction",62706.7500
Atlanta,"Public Health Research",59000.0000
Atlanta,"Real Estate",135000.0000
Atlanta,Recruitment,65620.4444
Atlanta,Research,28500.0000
Atlanta,Restaurant,39040.0000
Atlanta,Retail,70103.0000
Atlanta,Sales,65320.0000
Atlanta,"Science ",65000.0000
Atlanta,"Social Work",59666.6667
Atlanta,"Transport or Logistics",66500.0000
Atlanta,"Utilities & Telecommunications",90666.6667
Atlanta,"Virtual reality",55000.0000
Atlanta,Wholesale,63073.5000
"Atlanta ","Accounting, Banking & Finance",69500.0000
"Atlanta ","Agriculture or Forestry",10500.0000
"Atlanta ","Brain research ",28000.0000
"Atlanta ","Business or Consulting",118968.5000
"Atlanta ",Chaplain,40000.0000
"Atlanta ",Computing/Tech,120333.3333
"Atlanta ","Education (Primary/Secondary)",46813.0000
"Atlanta ","Engineering or Manufacturing",86500.0000
"Atlanta ","Government and Public Administration",126000.0000
"Atlanta ","Health care",70000.0000
"Atlanta ","Hospitality & Events",92000.0000
"Atlanta ",Insurance,69000.0000
"Atlanta ",Law,87500.0000
"Atlanta ","Marketing, Advertising & PR",115000.0000
"Atlanta ","Media & Digital",70000.0000
"Atlanta ",Nonprofits,44000.0000
"Atlanta ","Property or Construction",60500.0000
"Atlanta ",Recruitment,42500.0000
"Atlanta ","Utilities & Telecommunications",95000.0000
"Atlanta  ","Marketing, Advertising & PR",84000.0000
"Atlanta Metro","Education (Higher Education)",53000.0000
"Atlanta metro","Government and Public Administration",69500.0000
"Atlanta metro","Health care",124000.0000
"Atlanta metro","Marketing, Advertising & PR",69500.0000
"Atlanta metro",Nonprofits,73500.0000
"Atlanta suburb","Government and Public Administration",91000.0000
Atlantic,"Government and Public Administration",58000.0000
Atlantic,"Government Contractor",62000.0000
Atlantic,"Public Library",47700.0000
Attleboro,"Education (Primary/Secondary)",67000.0000
Attleboro,"Health care",46425.0000
Attleboro,Sales,65000.0000
Auburn,"Accounting, Banking & Finance",108250.0000
Auburn,Computing/Tech,29120.0000
Auburn,"Education (Higher Education)",38800.0000
Auburn,"Government and Public Administration",54496.0000
Auburn,"Hospitality & Events",90000.0000
"Auburn ",Sales,100000.0000
"Auburn Hills",Sales,55000.0000
Auckland,"Accounting, Banking & Finance",116500.0000
Auckland,"Art & Design",84000.0000
Auckland,"Business or Consulting",110000.0000
Auckland,Computing/Tech,110741.2857
Auckland,"Education (Higher Education)",50000.0000
Auckland,"Education (Primary/Secondary)",75000.0000
Auckland,"Engineering or Manufacturing",69000.0000
Auckland,"Government and Public Administration",84181.5000
Auckland,Insurance,115500.0000
Auckland,Law,64500.0000
Auckland,Marketing,34000.0000
Auckland,"Marketing, Advertising & PR",92250.0000
Auckland,Nonprofits,68000.0000
Auckland,"Property or Construction",92000.0000
Auckland,"Transport or Logistics",92000.0000
Auckland,"Utilities & Telecommunications",121000.0000
"Auckland ",Environmental,71000.0000
"Auckland ",Law,160000.0000
"Auckland ","Leisure, Sport & Tourism",56000.0000
"Auckland ",Manufacturing,120000.0000
"Auckland ","Media & Digital",84000.0000
"Auckland ",Sales,105000.0000
Augusta,"Agriculture or Forestry",91000.0000
Augusta,Computing/Tech,80500.0000
Augusta,"Education (Higher Education)",85000.0000
Augusta,"Engineering or Manufacturing",98250.0000
Augusta,"Government and Public Administration",68484.7500
Augusta,"Health care",49513.3333
Augusta,Insurance,86000.0000
Augusta,Nonprofits,56500.0000
Augusta,Retail,27500.0000
Augusta,"Transport or Logistics",78000.0000
"Augusta ","Animal Welfare",32000.0000
"Augusta ",Computing/Tech,62000.0000
Aurora,"Clinical Research",63000.0000
Aurora,Computing/Tech,130000.0000
Aurora,"Education (Primary/Secondary)",48000.0000
Aurora,"Engineering or Manufacturing",92500.0000
Aurora,"Government and Public Administration",111000.0000
Aurora,"Health care",81883.0000
Aurora,IT,56000.0000
Aurora,"Law Enforcement & Security",41000.0000
Aurora,Nonprofits,57000.0000
Aurora,Retail,68250.0000
"Aurora ","Health care",105000.0000
Austell,"Health care",29600.0000
Austin,Academic,48000.0000
Austin,"Accounting, Banking & Finance",86835.7143
Austin,"Agriculture or Forestry",40000.0000
Austin,Architecture,70000.0000
Austin,"Art & Design",68500.0000
Austin,"Business or Consulting",99681.8182
Austin,Computing/Tech,108158.2200
Austin,Consulting,65000.0000
Austin,"Education (Higher Education)",60070.3448
Austin,"Education (Primary/Secondary)",54026.1429
Austin,"Engineering or Manufacturing",109307.8667
Austin,Entertainment,110000.0000
Austin,"Environmental Consulting",132000.0000
Austin,"Food and Beverage",67000.0000
Austin,Gaming,68500.0000
Austin,"Government and Public Administration",69246.2069
Austin,"Health care",83683.2667
Austin,"Hospitality & Events",35360.0000
Austin,Insurance,66800.0000
Austin,"Interior landscaping ",33000.0000
Austin,Law,99426.6667
Austin,"Marketing, Advertising & PR",98063.6364
Austin,"Media & Digital",63452.0000
Austin,Music,65000.0000
Austin,Nonprofits,75829.2632
Austin,"Property or Construction",72875.0000
Austin,"Public Health Research",62000.0000
Austin,"Public Library",55000.0000
Austin,"Real Estate",50000.0000
Austin,Recruitment,63748.0000
Austin,Retail,68580.0000
Austin,Sales,54025.5556
Austin,"Social Work",53666.6667
Austin,Translation,93400.0000
Austin,"Transport or Logistics",121666.6667
Austin,Unknown,65000.0000
Austin,"Utilities & Telecommunications",70000.0000
Austin,"Video games",95000.0000
"Austin ","Accounting, Banking & Finance",150000.0000
"Austin ","Business or Consulting",108000.0000
"Austin ",Computing/Tech,100400.0000
"Austin ","Engineering or Manufacturing",104250.0000
"Austin ",Entertainment,110000.0000
"Austin ","Marketing, Advertising & PR",60000.0000
"Austin ",Nonprofits,136000.0000
"Austin metro area","Accounting, Banking & Finance",87000.0000
"Austin Metro Area","Education (Higher Education)",54000.0000
"Australia not Sydney",Computing/Tech,70000.0000
"Avon Lake",Computing/Tech,62000.0000
Ayer,"Accounting, Banking & Finance",140000.0000
Ayer,"Health care",83200.0000
Aylesbury,"Transport or Logistics",43000.0000
Badajoz,Translation,24000.0000
Baden,Computing/Tech,39000.0000
Bagdad,"Engineering or Manufacturing",130000.0000
"Bainbridge Island",Retail,32000.0000
Bakersfield,"Education (Higher Education)",90000.0000
Bakersfield,"Education (Primary/Secondary)",65.0000
Bakersfield,Law,125000.0000
"Ball Ground","Government and Public Administration",35570.0000
Ballarat,"Engineering or Manufacturing",90000.0000
"Ballston Spa","Marketing, Advertising & PR",50000.0000
Baltimore,"Accounting, Banking & Finance",79826.6667
Baltimore,"Agriculture or Forestry",44106.6667
Baltimore,Apparel,95000.0000
Baltimore,"Art & Design",52448.0000
Baltimore,Biology,34000.0000
Baltimore,"Biomedical Research",53000.0000
Baltimore,"Business or Consulting",91520.0000
Baltimore,Coaching,44000.0000
Baltimore,Computing/Tech,103481.5385
Baltimore,"Education (Higher Education)",77846.9167
Baltimore,"Education (Primary/Secondary)",80071.4286
Baltimore,"Engineering or Manufacturing",100920.5000
Baltimore,"Environmental Consulting",58.0000
Baltimore,"Government and Public Administration",75407.0625
Baltimore,"Health care",91147.9091
Baltimore,Insurance,74592.5000
Baltimore,Law,97583.3333
Baltimore,"Leisure, Sport & Tourism",91000.0000
Baltimore,Library,55000.0000
BALTIMORE,Manufacturing,50000.0000
Baltimore,"Marketing, Advertising & PR",73833.3333
Baltimore,"Media & Digital",73793.7500
Baltimore,Medical,96000.0000
Baltimore,Museum,75000.0000
Baltimore,Nonprofits,80642.8571
Baltimore,Pharmaceutical,85000.0000
Baltimore,Philanthropy,80000.0000
Baltimore,"Property or Construction",56000.0000
Baltimore,"Public Library",110000.0000
Baltimore,Recruitment,52500.0000
Baltimore,Retail,91000.0000
Baltimore,"Social Work",65000.0000
Baltimore,"Staffing agency",125000.0000
Baltimore,"Transport or Logistics",69847.3333
Baltimore,"Utilities & Telecommunications",121066.6667
Baltimore,Warehousing,37440.0000
"Baltimore ","Accounting, Banking & Finance",44491.0000
"Baltimore ","Business or Consulting",101000.0000
"Baltimore ",Computing/Tech,118950.0000
"Baltimore ","Education (Higher Education)",68000.0000
"Baltimore ","Government and Public Administration",97333.3333
"Baltimore ","Health care",160000.0000
"Baltimore ","Hospitality & Events",70000.0000
"Baltimore ","Marketing, Advertising & PR",145000.0000
"Baltimore ",Nonprofits,66500.0000
