Job_Title,Total_monetary_compensation
"Government Worker",107997
"Principal Research Associate",110000
"Business Design Consultant ",137000
"Digital Lead",173497
"Clinical Research Associate",358643
"Customer Service Supervisor ",190994
"Music Therapist",183341
"Personal Assistant ",319294
"Ophthalmic Assistant ",59080
"Doctor - Psychiatry registrar",164800
"Director of Communications ",309994
"Senior Tax Accountant",587197
"Senior Executive Assistant",1606876
"Personal Assistant to Director of Clinical Services",93497
Physiotherapist,191994
"Welding Manager",77000
"Client Services Manager",258994
"Creative Marketing Manager",87497
"Project Accountant ",160597
"Reporting Analyst ",59257
"Reports and Analytics Manager",82500
"Communications Coordinator",1258995
"Clerical officer ",152294
"Administrative Supervisor",84962
"Audit Senior Manager",398497
Auditor,855753
"Environmental engineer",625954
"Financial Analyst",3858648
"Transportation Construction Inspector III",55497
"Clerical Supervisor ",65497
"GIS Programmer Analyst",226497
"Clinical Psychologist",1047723
"Nonprofit adult training",65497
"Clinical Research Project Manager",79897
"Pro Bono Director",78497
"Program Supervisor",362528
"Administrative Support",637234
"Staff Attorney",2778961
"Medical Technologist",426191
"Administrative Manager",847767
Geologist,1112244
"Maintenance Supervisor",98368
"Quality Assurance Coordinator",77497
"Quality Improvement Data Analyst",98497
"Health Program Associate",65497
"Resident Physician",426431
"Collections Administrator ",57497
"Family Services Worker",52000
"General Maintenance ",27240
"Occupational Therapist",1150872
"Environmental Impact Analyst III",76497
Archivist,2426108
Founder,138497
"Librarian/Digital Learning Coach",114497
"Mechanical Engineer III",233397
"Director of Agency Services",94500
"Senior UX Designer ",321497
"Staff Accountant",2699740
"Recruitment Supervisor",112000
"Development Engineer",337174
"Frontend Developer",894479
"Document control coordinator",63000
"Support Analyst",263834
"Academic librarian",641823
"Office Administrator ",383917
RN,3336933
"Administrative Assistant ",2312741
"Art Coordinator",44697
"Assistant Dean for Undergraduate Admissions and Student Services",148497
"Assistant Director of Marketing, International Giving and Engagement",18597
"Associate Scientist ",277094
"Career Services Coordinator",62497
"Director, People Operations",120000
"Senior Project Manager",5311827
"Communication Specialist",415091
"Digital Content Strategist",149397
"Evening Operations and Access Support",40915
"Regulatory Affairs Manager ",291750
"Director of Operations",4173265
"Director of Patron Services",76497
"Director of Technology",1286222
"Elementary Teacher",342961
"Graduate Student Instructor / PhD Candidate",46497
"Health and Safety Assistant",47497
"Information Security Analyst",534656
"Lead User Experience Researcher",143497
"Leader of business intelligence",184575
"Mac Engineer ",77497
"Metadata Management Librarian",75497
"Pharmaceutical Process Engineer",123497
"Postdoctoral Researcher, Anthropology",67497
"Project Coordinator",3473063
"Processing Archivist",195194
"Front Office Coordinator",45180
"Quality Assurance Engineer",496218
"Dialysis clinic manager",93000
"Records and Data Control Specialist",31500
Recruiter,1346844
"Regional Supervision Officer",90500
"Research Specialist Associate",55497
"Non Technical Recruiter",231000
"PhD Student/Teaching Assistant",62497
"Sr. Quality Systems Document Specialist",94000
"Director, Enterprise IT Applications",173497
"Senior Analyst",5458655
"Senior Association Manager",67000
"Senior Research Area Specialist",98497
"Staff Writer",779252
"Statistical Programmer/Data Analyst",74997
"Student Administrative Assistant ",63497
"Study Abroad Advisor",168714
"Executive Assistant III",64800
"Supervisor of Student Activities ",76169
"Technical Lead",435994
"User Experience Designer",435260
"User Experience Lead",273400
"UX Designer",1742179
"Technology Manager/Scrum Master",109200
"Senior Software Engineer",24562421
"Research Project Manager",471688
"Supervisory Management Analyst",149000
"Nurse ",232494
Manager,15472378
"Research Scientist",3257531
Pharmacist,2397876
"GME Program Administrator",62497
"Teacher Assistant",32497
"Finance Manager",3057862
"Development Associate ",132994
"Program Manager ",1615970
"Special education teaching assistant",27497
"Recreation Supervisor ",67497
"Association Solutions",67840
"Quality Assurance",362494
"Assistant Director of Admission",499976
"Branch Manager",1884421
"Client Engagement Manager",70497
"Development Director",1933302
"Quality Assurance Analyst",379273
"Senior Engineer",4499116
"Student Success Coach ",64497
"Compliance Director",88497
"Employment Services Specialist",122177
"Sr. Systems Engineer",421997
"Music Librarian",25497
"Legislative Aide",127994
"Staff Technologist",131000
Engineer,2539097
"Specimen Processing Trainer",63000
"Assistant Director of HR",159994
"Sr. Digital Marketing Manager",95497
"Blind Rehabilitation Specialist ",103840
"Library Director ",475831
"Sr. Privacy Manager",160000
"Technical Product Manager",563497
"Sr. Process Improvement Coach",151497
"Finance and HR Manager",192997
"Implementation Operations Manager",127600
"HR Generalist ",732709
"Clinical Educator ",118497
"Science Teacher (Public High School)",54000
"Admissions Advisor",246091
"Assistant Laboratory Supervisor",50497
"Civil Project Engineer IV",88000
"Executive Assistant to President/CEO",85997
"Therapist ",200491
"Dietician ",218491
"School Social Worker",440685
"Tax Manager",1193391
"Lead Medical Biller",59922
"Senior Research Officer",104897
"Associate of Talent Management and Culture",68497
Patalegal,48497
"Senior Associate, registered architect",109497
" Customer Solutions Manager",183497
"Associate Technology 2",96388
"Box Office Manager",204491
"Business Development Manager",2125972
"Clean Energy Product Development",142700
"Communications Associate",522185
"Content Specialist",397745
"CRM Manager",597600
"Cyber Security Engineer",565491
"Deputy Director, Digital Media",71497
"Deputy Executive Director",659610
"Development and Data Specialist",65497
"Development Officer",1295384
"Director of Development ",849579
"Clinical Counselor",68497
Editor,5333862
"Government Attorney",274994
"Receptionist / assistant",38397
"Field Engineering Manager",118497
"Marketing and Communications Manager",755079
"Mid-level SharePoint Developer",113460
"Senior Manager Regulatory Affairs Labeling",160000
"Lead Pastor",47000
"Partnerships Manager",192497
"Policy Researcher",132000
"Process Analyst",140000
"Professional Development Manager",57750
"Professional Research Assistant",124409
"Downstream Process Development Research Associate I",65497
"Recruiting Manager",860994
Optometrist,588497
"VP of Research and Development",93497
"Clinical Research Assistant",44000
"Associate Scientist II",163150
"Principal Computational Linguist",148497
"Senior Research Scientist",775498
"Senior Solution Architect",166000
"Senior Survey Analyst",85497
"Software Consultant",293497
"Software Designer",136000
Reporter,1344365
Specialist,797008
"Sr. Campaign Manager",125997
"Sr. Data Scientist",123100
"Sr. Research Manager",83497
"Technical Advisor",396845
"Nurse Practitioner ",1477541
"Visitor Information Assistant ",58497
VP,1780841
"Youth Program Counselor",83497
"Lead Consultant",309497
"Engagement Editor",164994
"Research Librarian",774726
"Associate Director",5463498
"Branch Chief",255000
"General Engineer",115497
"Grants Administrator",379447
"Project Associate",245202
"Operations ",120497
"Policy Advisor",1078734
"Claims Specialist",152902
"Office Administrator",1195041
"Senior Backend Engineer",138000
"Intelligence Analyst",360994
"Fiscal and Budget Manager",134157
"Senior Researcher",1279047
"Enterprise Content Manager",134000
"Sr. Product Manager",1151497
"Group HR Manager",272991
"Lead Consultant - Software Development ",140000
"Project Manager ",2729720
"Program Lead",421079
"Senior Manager Human Resources ",140000
"Research Associate II",409989
"Paralegal ",617751
"Research Analyst",2395945
"Strategic Planning Manager ",106000
"Claims Specialist ",143097
"RIM Manager",144000
"Telecommunicator IV",102550
"Financial Planner",703491
"Assistant Marketing Manager and Graphic Designer",50500
"Scientific Manager",144000
"Global Human Resources Manager ",117000
"User Experience and Engagement Manager",86497
"Proposal Specialist",326038
"Critical Facilities Supervisor ",129000
"Design Associate ",67497
"HR ",276391
"Operations Assistant",284391
"Customer Service Quality Manager",122000
"Engineering Supervisor",560651
"Manager of insights and analytics ",103000
"Senior Associate Scientist",222482
"Project Architect",560994
"Vice Chancellor and General Counsel",158497
"Implementation Manager",565494
"Data Engineer ",154497
"Program Director ",809290
"Director of forensic nursing",103497
"Contractor ",108497
"Mobile Device Device Technician ",42497
EMT,160542
"Contact Tracer",229529
"Audit Manager",542297
"Insurance Agent",123500
"Capability program manager",52000
"Job Captain",141900
"Epic Analyst III",118497
"Payroll Clerk",106044
"Purchasing Manager - Apparel",205000
"Application Programmer Associate",59497
"Foreign Service Officer",579818
"Account Director",1228994
"Associate Professor of Chemical Engineering",133497
supervisor,2232575
"Administrative coordinator ",446480
"Administrative Specialist",829870
"Assistant Project Manager",1029638
"Group Leader",120250
"Data Systems Manager",69497
"Digital Marketing Manager",2214018
"Library Associate III",45497
"Production Control Specialist",73497
"Program Specialist",846706
"Project Engineer",3641495
"Student Affairs Professional II",55997
"Student Services Professional",53722
"Technical Support",365394
"Training Manager",1232185
"Director of Student Success",77497
"Training Coordinator/Risk Communicator",47497
"IT Architect",527497
"Clinical Research Assistant II",37033
"Staff Accountant I",83560
"High School Spanish Teacher ",63497
"Veterinary Specialist",276794
"Finance and Administration Manager",55997
"Capacity Coordinator",60500
"Solution Architect",1250085
"Chemistry Laboratory Specialist",59537
"Cyber Security Analyst",267994
"Senior Research Associate",571988
"7th grade ESOL Teacher",57400
"Academic Advisor",2071457
"Academic Coordinator",299885
"Immigration Officer",120643
"Accounts Receivable",492362
"Administrative and Data Coordinator",46000
"Daycare attendant",41597
"Admissions Communications",63497
"Application Developer",661515
Architect,1238320
"Physician Assistant ",597491
"Art Director",1348871
"Assistant Director of Communication",401932
"Assistant Director of Development",141494
"Assistant Director, Operations and Events",68497
"Assistant Orchestra Librarian",49247
"Assistant Public Defender",288988
"Assistant to the Chair II",78497
"Associate Attorney",6841587
"Associate Director of Annual Giving",222491
"Associate Director/Program Officer",83000
"Associate Vice President of Advancement Administration and Chief Annual Giving Officer",158497
"Audit Associate ",88497
"Audit Lead",159497
"Behavioral Health Supervisor",72500
"Catering Sales ",55497
"Claims Adjuster",381352
"Brand Asset Manager",53497
"Brand Partnerships Marketing Manager",104497
"Ad Policy Manager",163497
"Senior Scientist II",288843
"Buyer III",89644
"Claim Manager",234497
"Client Service Associate",204842
"Communications Coordinator ",274144
"Compliance Analyst",874688
"Nonclinical Manager",97000
"Consulting Manager",536274
"Costume PA",67000
"Customer Account Manager",83497
"Customer Support Specialist",380251
"Senior Associate Data Scientist",124000
"Data Engineer",2765363
"Data Strategist",96497
"Demand Planning Team Leader",121000
Developer,1229185
"Development Associate",1035238
"Development Manager",2013651
"Medical Laboratory Technologist",282994
"Digital Analyst",145800
"Digital Marketing Coordinator",274688
"System Analyst",596491
"Director of Client Services",272497
"Director of Creative Strategy",121497
"Director of Development",2191787
"Director of Development Operations",343491
"Director of Digital Learning ",106497
"Director of Digital Marketing",117700
"Director of Education",192997
"Director of Marketing and Programs",88497
"Director of Product",586938
"Director of Professional Development",208494
"Director of Research and Sponsored Programs",89497
"Molecular Biologist",73200
"Technical Applications Specialist",65336
"Director of Sales and Marketing",140000
"Client Billing Specialist Team Lead",38600
"Director, Federal Affairs",168497
"Senior Scientist",2378268
"Director, Resource Services",98697
"Distribution Center Engineer",99700
"E-Discovery Manager",100000
"Environmental Analyst",207274
"Senior Executive Support Officer",102497
"Executive Assistant and Office Manager",158500
"QA Specialist",176994
"Graduate Research Assistant - Mechanical Engineering - GA Tech",15847
"Graphic Design ",298491
"High School Teacher at an independent school",88497
"Privacy Officer",103497
HRBP,780994
"Immigration Services Manager",65497
"Intake Manager",140000
"Interior Designer",607594
"Judicial Staff Attorney",98497
"Lead Designer, Communications",85497
"Lead Organizer",106994
"Lead User Interface Engineer ",153000
"Legal Assistant",2736306
"Digital marketing ",107897
"Manager Financial Reporting",118000
"Incident Response Consultant",180500
"Editorial Content Manager",94000
"Manager, Meetings and Technology",73497
"Marketing Assistant",285641
"Marketing Specialist",1347889
"Data Analyst Lead",216497
"Master Data Analyst",220994
"Media Specialist",241367
"Meeting and Event Manager",131500
"Member of Technical Staff",282497
"Medical Physicist",156500
Paralegal,5893572
"Medical Writer",588194
"Porting Agent",65000
"Post-Adoption Services Case Worker",53497
"Physical Therapist",1197859
Bioinformatician,61997
"QC Analyst",141394
"Research Leader",69089
"Marketing Analytics Manager",200000
"Privacy Program Manager",365000
"Procurement Coordinator",137769
"Product Support",183300
"Program Coordinator and Assistant Editor ",63497
"Project Coordinator/Communications Assistant",30797
"Mortgage Insurance Underwriter",73000
"Project Delivery Senior Consultant",100000
"Public Defender",803401
"Psychiatric Nurse Practitioner",284497
"Quality Engineer",2047702
"Records Coordinator",56497
"Recruiting Coordinator",531038
"Public Health Lab Tech, Lead",61124
"Operations Intern",72617
"Sales Engineer",1572410
"Sales Operations Manager",638181
"School Librarian",216491
"Senior accounting analyst",196000
"Product Owner",2461602
"IT Business Analyst",483394
"Senior Associate",4417148
"Senior Associate Trial Attorney",127000
"Scientific Support Specialist",78497
"Senior Business Analyst ",446767
"Senior Communications Officer",175497
"Environmental Manager",306227
"Advanced Research Associate",68497
"Senior Copywriter",1010285
"Senior Director of Strategic Planning",130000
"Senior Graphic Designer",1161972
"Senior HR Generalist",671891
"Senior IT Analyst",107000
"Senior Marketing Strategy Analyst",121000
"Safety Director",129000
"Senior Operations Financial Analyst",110000
"Senior Packaging Engineer",90000
"Senior Product Manager",3697278
"Senior Production Coordinator ",95000
"Senior QA Engineer",346497
"Senior Security Engineer",742177
"Senior Software Consultant",268994
"Senior Software Developer",4044197
"Senior Support Service Manager",105462
"Senior Technical Writer",2445247
"Social media and digital manager ",73497
"Social media manager ",543291
"Software Engineer III",1691093
"Solutions Engineer",406497
"Revenue Cycle Director",272000
"Sr. Atlassian Engineer",124500
"Sr. Data Analyst ",93497
"Senior Clinical Nurse II",94497
"Sr. Manager Product Innovation",83497
"Senior Marketing Manager",2659975
"Psychiatric nurse practitioner ",281994
"Staff Geologist",327671
"Staff Product Analyst",163497
Strategist,134497
Student,170405
"Support Engineer",552391
"Systems Architect",256188
"Teaching Assistant",372027
"Technical Account Manager",1015591
"Technical Support Rep",50497
"Associate Director - Business Development",150000
"Training Associate",134381
"University Relations Recruiter",68000
"UX Research Manager",252000
"Vice President",5344879
"Vice President Accounting",189000
"Vice President, Analytics",296997
"Vice President, Asset Management",165000
"Visual Designer",514766
"VP Finance",573797
"VP, Creative Director",171000
"Workday Implementation Consultant",101497
"Workshop Coordinator",63497
"Assistant Vice President for Student Affairs",127497
"Civil Engineer",1833801
"Corporate Counsel",944494
Dean,721982
"Certified Pharmacy Technician",252936
"Agency Buyer",52497
"Application Development Manager",103497
"Asylum Officer",196877
CTO,1394573
Epidemiologist,1443037
"IT Specialist",711854
"Lease Technical Writer/Editor",121000
"Planning Process Coordinator",58997
"Public Health Advisor",330847
"State Librarian and Associate Vice Chancellor for Libraries",178497
"Utilities Engineer",79497
Engraver,48497
"Assistant Social Media Manager",84497
"Alliance Manager",104400
"Manager, R&D",143000
"Compensation Analyst",620750
"Closing Secretary",80000
"Truss Designer/Office Manager",71600
CPA,606491
"Project Administrator",590112
"Project Manager III",158600
"Senior Product Manager - Digital",173000
"Director of Communications",2104159
"Digital Marketing Specialist",922412
"Director Network Engineering",162500
"Director of Software Engineering",659491
"Sr. Business Analyst",1134482
"Sr. Data Analyst",398100
"Cloud Engineer",483494
"Security Researcher",83497
"Freelance Writer and Editor",254191
"Sr. Director, Actuarial",245000
"Compliance Coordinator",137497
"Software Engineer II",5931634
"HR Business Partner",3410282
"Sr. Project Manager",672597
"Social Worker II",80497
"Library Department Manager (non-IT)",93497
"Manager of cGMP Manufacturing, QA, and QC",112500
"Manager of New Technology Development",111497
"Technical Support Engineer III",98000
"Trust Officer",201500
"Museum Curator ",73288
"Account Payable Specialist",65497
"Auto Liability Claims Adjuster",75000
"Benefits Specialist ",108497
"Corporate Paralegal",224697
"Regulatory affairs manager",203100
"Chaplain resident ",53497
"Consultant ",1779485
"Front Office Supervisor",62497
"Lead UX Researcher",143000
"Learning Specialist ",158807
"Marketing specialist ",347558
"Post-Production Manager",89000
"Project Manager, global learning",112000
"Salesforce Administrator ",185697
"Senior accountant CPA ",93000
"Senior accounting analyst ",104000
"Senior Managing Consultant ",105000
"Senior Marketing Coordinator ",56497
"Systems Engineer ",270494
"Senior Media Manager ",90497
"Youth pastor",113994
"Environmental engineer ",230197
"Graduate Research Assistant ",41497
"Senior Communications Specialist ",200994
"Director of (Non-academic auxiliary unit) ",82840
"Publications and Communications Manager",94340
"Guest and Volunteer Services Manager",62700
"Library Director",2403160
"Senior program consultant--ethicist",143000
"Behavior Specialist",194157
"High School Teacher",1963755
"Senior Director, Professional Services",157700
CEO,2443955
"Accounting Manager",4471185
"Accounting Manager ",188000
"Apple Technology Specialist",42617
"Health and Wellness Specialist",36800
"Hotel General Manager ",103497
"Humanities Faculty and department chair",80000
"Public Library Assistant Director",67993
"Practice Administrator",237400
"Patient Coordinator / Office Manager ",70000
"HR Officer",248291
"Risk Consultant",144497
"National Business Coordinator",115497
"Senior HR Advisor",138497
"Senior Legal Policy Advisor",114497
"Senior policy advisor",871564
"Senior Technical Specialist",102000
"Private Instrumental Tutor ",169497
"Campaign Analyst",90497
"Community Rehabilitation and Support Worker",75026
"Regulatory Compliance Advisor",125400
"Compliance and Finance Manager",114018
"Exam Development",90000
"Senior officer",309994
"Merchandiser and SEO coordinator ",73497
"Private Tutor",66497
"Project Lead",514391
"Security Engineer",1607251
"EHS analyst",83497
"Personal Assistant",393404
"Senior Library Learning Advisor",96067
"Annual Fund Manager",340974
"Employee Relations",91497
"Department Chair",315491
"Director of Community Resources ",76497
"Field Engineer",212497
"Senior Project Advisor",114997
"Senior Applications Administrator",80000
"Product Owner / Project Manager",115000
"HR Specialist",1341974
"Proof Reader",111674
"Senior Support Specialist",56000
"Director of Research and Evaluation",110497
"Implementation Specialist ",253697
"Plant breeder",237507
"Animal keeper",45497
"Clinical Research Monitor",163399
"Detentions crew leader",54497
"Engineering project manager",264000
"Public Services Manager",70497
"AR Manager",66497
"Developmental Therapy - Communication Specialist",69647
"Transportation Engineer",269991
"IT Project Management Senior Advisor",113799
"Health Care Policy Analyst",112800
"Utilization Review Nurse",77500
Unknown,513032
"Business Intelligence Analyst",1244171
"3D Artist",102200
"Account Supervisor",950282
"Aggregation Quality Analyst",63120
"Medical Writer II",81000
"Analytics Manager Sr",157500
"Outpatient Hospital Social Worker",98497
"Assistant Editor",584373
"Assistant Advisor",50497
"Assistant Counsel",334491
"Associate Director ",1302188
"Associate Director of Marketing",242900
"Associate Staff Firmware Engineer",215000
"Broadcast Producer",99997
"Business Systems Analyst",1524043
"Career Coach",121044
"Career Resource Specialist",64120
"CE Expert",53497
"Channel Marketing Specialist",72500
"Clinical Case Manager ",67497
"Commercial Counsel",700067
"Communications Director",1916695
"Communications Manager",3722947
"Community Organizing Manager",68497
"Complex Coordinator",49497
"Computer Engineer",347000
