Overall_Experience,Job_Title,Total_compensation
"1 year or less","Consumer Advocate",37497
"1 year or less","Consumer Insights Analyst ",58000
"1 year or less","Continuous improvement manager",86997
"1 year or less","Contract Manager",86000
"1 year or less",Coordinator,140017
"1 year or less","Corporate Archivist",44862
"1 year or less","Cost Analyst",80096
"1 year or less","Costume PA",67000
"1 year or less","COVID Case Investigator",65497
"1 year or less","Covid-19 Response Coordinator",60747
"1 year or less","CPG Marketing Analyst",78000
"1 year or less",Crew,34297
"1 year or less",CSR,52497
"1 year or less","Customer Experience Associate",36650
"1 year or less","Customer Support Specialist",65000
"1 year or less","Cyber Security Analyst",99497
"1 year or less","Cyber Security Consultant",95000
"1 year or less","Data Analyst",453682
"1 year or less","Data architect ",58497
"1 year or less","Data Engineer",23497
"1 year or less","Data Product Consultant",45497
"1 year or less","Data Scientist",736497
"1 year or less","Data Services Associate ",39500
"1 year or less","Database Specialist",50937
"1 year or less","Deli Counter Staff",48857
"1 year or less","Design Engineer",89000
"1 year or less",Development,58497
"1 year or less","Development Assistant",47200
"1 year or less","Development Associate",53497
"1 year or less","Development Program Trainee",90500
"1 year or less","Digital Marketing Coordinator",53497
"1 year or less","Digital Marketing Specialist",61497
"1 year or less",Dockhand,43780
"1 year or less","Drug Counselor",43000
"1 year or less","DSP Engineer",155000
"1 year or less","E-Commerce Agent",43497
"1 year or less","Early Childhood Teacher",73497
"1 year or less","Economic Analyst",60000
"1 year or less","Editorial Assistant",47011
"1 year or less","Electrical Engineer I",75000
"1 year or less","Eligibility Specialist ",52185
"1 year or less","Embedded Software Engineer",115000
"1 year or less","Engineering Associate ",113497
"1 year or less","Engineering Consultant",79574
"1 year or less","Engineering Student Trainee",42497
"1 year or less","Enquiry Assistant",35497
"1 year or less","Environmental Consulting specialist ",44500
"1 year or less","Environmental Scientist",97497
"1 year or less","Environmental Specialist",59497
"1 year or less",Estimator,70497
"1 year or less","Executive Assistant",247114
"1 year or less","Executive Pay Analyst",80000
"1 year or less","Field engineer",77000
"1 year or less","Field Technician ",62900
"1 year or less","File coordinator ",55497
"1 year or less","Finance Temp",51602
"1 year or less","Financial Aid Administrator",51497
"1 year or less","Financial Analyst",206272
"1 year or less","Financial Analyst I",77000
"1 year or less","Financial Planning Associate",72000
"1 year or less",FP&A,49
"1 year or less","Freelance Art Director",13567
"1 year or less","Full Stack Developer",93497
"1 year or less","Full Stack Engineer",98497
"1 year or less","General Manager ",81497
"1 year or less","GIS Analyst",88497
"1 year or less","Graduate Assistant ",95594
"1 year or less","Graduate Employee",42700
"1 year or less","Graduate Research Assistant",47497
"1 year or less","Graduate Student",85994
"1 year or less","Grant Writer ",41500
"1 year or less","Health Informatics",36700
"1 year or less","Home Healthcare Nurse ",76800
"1 year or less","Homeless Services Case Manager",47200
"1 year or less","Host/Server Assistant",26497
"1 year or less","Hotel Maid",24180
"1 year or less","Housing case manager",65497
"1 year or less","HR Coordinator ",41990
"1 year or less","HR Generalist",111497
"1 year or less","Information Analyst",39601
"1 year or less","Instacart Shopper",58497
"1 year or less",Intern,117114
"1 year or less","Intern Doctor",39502
"1 year or less","Intern software developer",53497
"1 year or less","Internal Consultant",133497
"1 year or less","Java Software Developer",31257
"1 year or less","Job Coach",55097
"1 year or less","Jr. Systems Engineer",78300
"1 year or less","Junior Consultant",46050
"1 year or less","Junior Developer",35497
"1 year or less","Junior Mechanical Design Engineer",105000
"1 year or less","Junior Technical Writer",58497
"1 year or less","Kinship and Adoption Navigator",48857
"1 year or less","KYC analyst",48497
"1 year or less","Laboratory and Research Assistant",59497
"1 year or less","Laboratory Assistant",55297
"1 year or less","Legal Administrator",33140
"1 year or less","Legal intern",63497
"1 year or less",Librarian,73997
"1 year or less","Library Assistant",82342
"1 year or less","Library Media Specialist",52586
"1 year or less","Licensed Social Worker",66497
"1 year or less","Lifeguard, Swim Instructor",47817
"1 year or less","Lighting Lot Pick Manager",27540
"1 year or less","Logistics Coordinator",68497
"1 year or less","Management consultant ",78497
"1 year or less","Management Trainee",184960
"1 year or less",Manager,51500
"1 year or less","Manager of Communications and Engagement",57177
"1 year or less","Manufacturing Associate ",85000
"1 year or less","Manufacturing Engineer",74997
"1 year or less","Marketing Analyst",53497
"1 year or less","McDonalds Crew Member",53497
"1 year or less","MD PhD Candidate",60550
"1 year or less","Mechanical Engineer ",99497
"1 year or less","Mechanical engineer I",78497
"1 year or less","Media Attorney",113497
"1 year or less","Media Coordinator",68697
"1 year or less","Medical Office Coordinator",64457
"1 year or less","Medical Technologist",73347
"1 year or less","Member Service Associate",38457
"1 year or less","Microbiologist officer",61497
"1 year or less","Middle School Teacher",53497
"1 year or less","Mobile Developer",109497
"1 year or less","Multi-disciplinary engineer II ",91000
"1 year or less","Network Engineer",142000
"1 year or less","Night assistant manager",46000
"1 year or less","Nurse Informatics Specialist",111497
"1 year or less","Nurse Practitioner",103497
"1 year or less","Occupational Therapist ",84217
"1 year or less","Office assistant ",37000
"1 year or less","Officer, Analyst II- System/Data Security",64249
"1 year or less","Online Course Developer",106000
"1 year or less","Online Grocery Associate",44697
"1 year or less","Operations Intern",30000
"1 year or less","Ophthalmic Technician",44697
"1 year or less","Optical Engineer II",187000
"1 year or less","Optical Receptionist and Frame Stylist",50997
"1 year or less","Order Processor",33257
"1 year or less",PA,103700
"1 year or less",Paralegal,246988
"1 year or less","Partnerships Editor",43497
"1 year or less","Passenger Assistant",34297
"1 year or less","Patient Access Specialist",64092
"1 year or less","Patient care coordinator",45497
"1 year or less","Payment Services Officer",67497
"1 year or less","People Services Manager",55000
"1 year or less","Performance Analyst",95997
"1 year or less","Perfusion ",115000
"1 year or less",Pharmacist,192497
"1 year or less","Pharmacy Technician",104099
"1 year or less","PhD Candidate",29497
"1 year or less","PhD Student Biotechnology",53758
"1 year or less",Physician,86247
"1 year or less","Physician Assistant ",101497
"1 year or less",Physiotherapist,73497
"1 year or less","Plant Breeder",88010
"1 year or less","Police Officer",27770
"1 year or less","Policy Advisor",44997
"1 year or less","Policy Officer",44997
"1 year or less","Post Doctoral Researcher",75497
"1 year or less",Postdoctoral,147994
"1 year or less","Postdoctoral Associate",61497
"1 year or less","Postdoctoral Lecturer",83497
"1 year or less","PR and Communications Intern",43497
"1 year or less","PR Specialist",35497
"1 year or less","Pricing Associate",70997
"1 year or less","Primary Teacher",39197
"1 year or less","Process Engineer",95300
"1 year or less","Process Engineer ",87500
"1 year or less","Process Engineer in training",63000
"1 year or less","Procurement Representative",60500
"1 year or less","Product Design",160000
"1 year or less","Product Engineer ",74997
"1 year or less","Product Manager",122000
"1 year or less","Program Analyst",75000
"1 year or less","Program Coordinator",103994
"1 year or less",Programmer,13515
"1 year or less","Project Coordinator",46000
"1 year or less","Project Coordinator, Materials Development ",58497
"1 year or less","Project engineer ",71000
"1 year or less","Project Management Intern",48857
"1 year or less","Project Manager",147297
"1 year or less","Project Officer ",40262
"1 year or less","Protection and Controls Engineer",94997
"1 year or less",Psychometrist,42100
"1 year or less","Public Health Communication Specialist",60497
"1 year or less","Public Services Library",69497
"1 year or less","QC Analyst",49897
"1 year or less","Quality Engineer",67572
"1 year or less","R&D Engineer",92000
"1 year or less","Receptionist/Escrow Assistant ",31070
"1 year or less","Registered Dietitian ",78497
"1 year or less","Registered Nurse",337071
"1 year or less","Regulatory Compliance Specialist",55497
"1 year or less","Research Analyst",216997
"1 year or less","Research and Development Engineer I",69000
"1 year or less","Research Assistant",208731
"1 year or less","Research Associate",196550
"1 year or less","Research Coordinator",148994
"1 year or less","Research Data Scientist",73497
"1 year or less","Research Fellow",45997
"1 year or less","Research Intern",44697
"1 year or less","Research Technician I",49497
"1 year or less","Risk analyst ",153497
"1 year or less","RN ",70000
"1 year or less","RN Patient care coordinator",98497
"1 year or less","Rotational Analyst",87500
"1 year or less","Rural mail carrier ",53497
"1 year or less","Sales Associate",65000
"1 year or less","Sales Coordinator",38440
"1 year or less","Sales Representative ",133500
"1 year or less","School psychologist ",78997
"1 year or less","School Social Worker",67497
"1 year or less","Science Teacher",57697
"1 year or less",Scientist,318547
"1 year or less","Scientist I",286000
"1 year or less","Search Coordinator",57200
"1 year or less",Secretary,44497
"1 year or less","Senior Associate Structural Engineer",104852
"1 year or less","Senior Data Analyst",113497
"1 year or less","Senior scientist",129000
"1 year or less","Senior Statistician",136000
"1 year or less",Server,103497
"1 year or less",Service/Administration,75897
"1 year or less","Site reliability engineer",176697
"1 year or less","Social Media Producer",46361
"1 year or less","Software Developer",347994
"1 year or less","Software Developer I",80340
"1 year or less","Software Development Engineer",146000
"1 year or less","Software Development Engineer I",165000
"1 year or less","Software Engineer",2158584
"1 year or less","Software Engineer I",94000
"1 year or less","Software Engineer in Test",63000
"1 year or less","Software Engineering Co-Op",69657
"1 year or less","Solution Analyst",96900
"1 year or less","Solutions Engineering Analyst",102000
"1 year or less","Spatial Analyst",73497
"1 year or less","Special Education Teacher",62497
"1 year or less","Special Events Administrative Specialist",43497
"1 year or less","Special Events Assistant ",31177
"1 year or less","Speech Language Pathologist",245691
"1 year or less","Staff Accountant",256491
"1 year or less","Staff Geologist",71497
"1 year or less","Staff pharmacist",132000
"1 year or less","Statistical Associate",69397
"1 year or less","Statistical Officer",38397
"1 year or less",Stocker,18820
"1 year or less","Store manager ",67000
"1 year or less","Strategy Analyst",165497
"1 year or less","Structural Analyst",91497
"1 year or less",Student,72011
"1 year or less","Student Recruiter, National",63921
"1 year or less","Substitute teacher",82194
"1 year or less","Summer Associate",200497
"1 year or less","Support Analyst",90000
"1 year or less","Support Specialist Tier 1",51997
"1 year or less","Support Worker",31497
"1 year or less","Systems Librarian",67497
"1 year or less",Teacher,253148
"1 year or less","Teaching Assistant ",42777
"1 year or less","Technical Account Manager",150000
"1 year or less","Technical Advisor",141000
"1 year or less","Technical Associate",66000
"1 year or less","Technical Support",79497
"1 year or less","Technician ",48497
"1 year or less","Technology Analyst",105000
"1 year or less","Technology Associate",9580
"1 year or less","Technology consultant ",83497
"1 year or less","Test Engineer",92000
"1 year or less","Training Coordinator",58497
"1 year or less","Training Specialist",48497
"1 year or less","Transmission Line Engineer",78497
"1 year or less",Unknown,127070
"1 year or less","Ux designer",153497
"1 year or less","UX Researcher",105572
"1 year or less",Veterinarian,95000
"1 year or less","Video Editor",45054
"1 year or less","Video Games Intern",34497
"1 year or less","Visitor Information Assistant ",58497
"1 year or less","Wastewater Treatment Technician",77977
"1 year or less","Web Developer",139994
"1 year or less","Welcome Desk Ambassador",43697
"1 year or less","Working Student",43497
"1 year or less","Yoga Teacher, Psychotherapist (student) ",90000
"1 year or less","Youth Services Librarian",50937
"11 - 20 years"," Business Systems Analyst",72497
"11 - 20 years"," Customer Solutions Manager",183497
"11 - 20 years"," Customer Support Supervisor",63497
"11 - 20 years"," Nurse Practitioner",110297
"11 - 20 years"," Senior DevOps Engineer",144100
"11 - 20 years"," Technical Systems Administrator",60000
"11 - 20 years","1st Grade Teacher",89497
"11 - 20 years","1st line manager",82400
"11 - 20 years","3D Artist",81200
"11 - 20 years","3D Project Coordinator",65497
"11 - 20 years","4th Grade Teacher",87497
"11 - 20 years","7th grade ESOL Teacher",57400
"11 - 20 years","9-12 grade teacher",53900
"11 - 20 years","911 Dispatcher",174109
"11 - 20 years","A/R Supervisor ",59000
"11 - 20 years","ABA Instructional Tutor",44497
"11 - 20 years","Academic Administrator",67497
"11 - 20 years","Academic Advisor",591276
"11 - 20 years","Academic Advisor ",141497
"11 - 20 years","Academic Advisor I",51497
"11 - 20 years","Academic Communications",85497
"11 - 20 years","Academic Coordinator",179391
"11 - 20 years","Academic librarian",245491
"11 - 20 years","Academic Librarian ",61497
"11 - 20 years","Academic Programs Director",93497
"11 - 20 years","Academic Services Director",113497
"11 - 20 years","Academic Support Specialist",75897
"11 - 20 years","ACAT Associate",65497
"11 - 20 years","Access Services Manager",65497
"11 - 20 years","Accessibility lead",153000
"11 - 20 years","Account Administrator ",35540
"11 - 20 years","Account Director",641000
"11 - 20 years","Account director ",177997
"11 - 20 years","Account Executive",1728791
"11 - 20 years","Account Executive - Technology Sales",250000
"11 - 20 years","Account Executive II",73200
"11 - 20 years","Account handler ",25600
"11 - 20 years","Account Manager",2036496
"11 - 20 years","Account Manager ",607194
"11 - 20 years","Account Operations Professional",57300
"11 - 20 years","Account Payable Specialist",65497
"11 - 20 years","Account Receivable Specialist",52997
"11 - 20 years","Account Representative",51497
"11 - 20 years","Account Representative - Editorial",75497
"11 - 20 years","Account Specialist",55000
"11 - 20 years","Account Supervisor",282297
"11 - 20 years",Accountant,960126
"11 - 20 years","Accountant II",333698
"11 - 20 years","Accounting Analyst",133358
"11 - 20 years","Accounting and Financial Analysis Manager",78497
"11 - 20 years","Accounting Assistant ",42617
"11 - 20 years","Accounting Consultant",147709
"11 - 20 years","Accounting Director",155000
"11 - 20 years","Accounting Manager",2059568
"11 - 20 years","Accounting Specialist/Human Resource Coordinator",59497
"11 - 20 years","Accounting supervisor",88497
"11 - 20 years","Accounts Assistant",35233
"11 - 20 years","Accounts Executive",50700
"11 - 20 years","Accounts Manager",49025
"11 - 20 years","Accounts Manager ",98497
"11 - 20 years","Accounts Payable",43657
"11 - 20 years","Accounts Payable and Accounts Receivable Manager",83497
"11 - 20 years","Accounts Payable Clerk",57177
"11 - 20 years","Accounts Payable Lead",67497
"11 - 20 years","Accounts Payable Manager",435300
"11 - 20 years","Accounts Payable Manager/Junior Accountant",58497
"11 - 20 years","Accounts Payable Specialist",123197
"11 - 20 years","Accounts Payable Supervisor",40997
"11 - 20 years","Accounts payables operations analyst",45000
"11 - 20 years","Accounts Receivable",161254
"11 - 20 years","Acquisition Editor",86497
"11 - 20 years","Actuarial analyst",35497
"11 - 20 years","Actuarial data /systems programmer",96497
"11 - 20 years","Actuarial Director",185000
"11 - 20 years","Actuarial Manager",141204
"11 - 20 years",Actuary,245500
"11 - 20 years",Acupuncturist,123497
"11 - 20 years","Ad Policy Manager",163497
"11 - 20 years","Addictions Case Manager",63497
"11 - 20 years","Adjunct Faculty Librarian",110497
"11 - 20 years","Adjunct Instructor",215235
"11 - 20 years","Adjunct Professor",101994
"11 - 20 years","Admin / Student Services ",42000
"11 - 20 years","Admin/Marketing Coordinator",68497
"11 - 20 years","Administration Assistant ",43497
"11 - 20 years","Administration Manager ",34297
"11 - 20 years","Administration Team Leader",42497
"11 - 20 years",Administrative,62377
"11 - 20 years","Administrative ",163374
"11 - 20 years","Administrative and Human Resources Assistant",44697
"11 - 20 years","Administrative and Operations Manager ",135000
"11 - 20 years","Administrative Assistant",2081694
"11 - 20 years","Administrative assistant ",631576
"11 - 20 years","Administrative Assistant II",127362
"11 - 20 years","Administrative Assistant III",165337
"11 - 20 years","Administrative Associate",100497
"11 - 20 years","Administrative Associate ",68497
"11 - 20 years","Administrative Contracting Officer",96500
"11 - 20 years","Administrative Coordinator",446916
"11 - 20 years","Administrative coordinator ",243018
"11 - 20 years","Administrative Director",71000
"11 - 20 years","Administrative Judge ",148497
"11 - 20 years","Administrative Law Specialist",138861
"11 - 20 years","Administrative Manager",534478
"11 - 20 years","Administrative Officer",68711
"11 - 20 years","Administrative Program Specialist",74997
"11 - 20 years","Administrative Secretary",65497
"11 - 20 years","Administrative Services Coordinator",65497
"11 - 20 years","Administrative Services Manager",66300
"11 - 20 years","Administrative Specialist",177531
"11 - 20 years","Administrative Staff Assistant",142392
"11 - 20 years","Administrative Support",172945
"11 - 20 years","Administrative Support ",58000
"11 - 20 years","Administrative Team Lead",38497
"11 - 20 years","Administrative Technician",70697
"11 - 20 years","Administrative Technician ",94497
"11 - 20 years","Administrative Technician III",53864
"11 - 20 years",Administrator,638688
"11 - 20 years","Administrator ",141994
"11 - 20 years","Administrator III",78497
"11 - 20 years","Administrator IV",89000
"11 - 20 years",Admission,61497
"11 - 20 years","Admission Director",118497
"11 - 20 years","Admissions and Financial Aid Counselor",65000
"11 - 20 years","Admissions Coordinator",105994
"11 - 20 years","Admissions Coordinator ",47629
"11 - 20 years","Admissions Specialist",53497
"11 - 20 years","Adult Education Coordinator",55497
"11 - 20 years","Adult Services Librarian",189491
"11 - 20 years","Advanced Analytics Developer",105000
"11 - 20 years","Advanced Geophysicist ",46500
"11 - 20 years","Advanced Lead Engineer",116497
"11 - 20 years","Advanced Program Manager",133497
"11 - 20 years","Advanced Scientist",168497
"11 - 20 years","Advanced Systems Administrator",153497
"11 - 20 years","Advancement Research",69497
"11 - 20 years","Advertising and Events Manager",92297
"11 - 20 years","Advice Caseworker",38497
"11 - 20 years","Advising Dean",85997
"11 - 20 years",Advisor,144497
"11 - 20 years","Aerospace Design Engineer",90497
"11 - 20 years","Aerospace Engineer",236497
"11 - 20 years","Aerospace Machinist ",85400
"11 - 20 years","Agent ",29000
"11 - 20 years","Agile Coach",206497
"11 - 20 years","Agile Project Management",94000
"11 - 20 years","Agile Team Lead",106000
"11 - 20 years",AGM,130000
"11 - 20 years","Agronomist ",133497
"11 - 20 years","Air Force Fighter Pilot",169000
"11 - 20 years","All Purpose Food Clerk",53497
"11 - 20 years","Alumni Relations Officer",73877
"11 - 20 years",analyst,2595392
"11 - 20 years","Analyst ",377497
"11 - 20 years","Analyst/Technical Account Manager",85000
"11 - 20 years","Analytical Investigator",83497
"11 - 20 years",Analytics,180000
"11 - 20 years","Analytics Engineer",108000
"11 - 20 years","Analytics Manager",288497
"11 - 20 years","Analytics Specialist",132500
"11 - 20 years","Animal Care Worker",26200
"11 - 20 years","Animal Control Officer",96405
"11 - 20 years","Animal Welfare and Research Technician ",45000
"11 - 20 years","Annual Fund and Database Manager",65997
"11 - 20 years","Annual Fund Manager",121747
"11 - 20 years","AP Senior Anaylst",68151
"11 - 20 years","Appeal Adjudicator",50560
"11 - 20 years","Appeal Platforms Engineer",153497
"11 - 20 years","Appellate attorney",91083
"11 - 20 years","Apple Technology Specialist",42617
"11 - 20 years","Applicaion Developer III",85497
"11 - 20 years","Application Analyst",108497
"11 - 20 years","Application Architect",162000
"11 - 20 years","Application Consultant",53497
"11 - 20 years","Application Developer",159494
"11 - 20 years","Application Manager",71497
"11 - 20 years","Application Portfolio Manager",109000
"11 - 20 years","Application Programmer Associate",59497
"11 - 20 years","Application Security Engineer ",113497
"11 - 20 years","Application Support Engineer",157000
"11 - 20 years","Application Support Manager",127000
"11 - 20 years","Application Support Specialist",68497
"11 - 20 years","Application Support Specialist II",98497
"11 - 20 years","Application Systems Analyst",83997
"11 - 20 years","Application Technica Analyst",89000
"11 - 20 years","Application Trainer Advanced ",49500
"11 - 20 years","Application Trainer Advanved ",49500
"11 - 20 years","Applications Specialist",119497
"11 - 20 years","Applied Scientist",97497
"11 - 20 years","AR Collector",45737
"11 - 20 years","AR Systems Specialist",62000
"11 - 20 years",Archaeologist,243074
"11 - 20 years","Archaeologist ",78000
"11 - 20 years",Architect,732823
"11 - 20 years","Architect, Senior Project Manager ",115000
"11 - 20 years","Architectural Associate",58000
"11 - 20 years","Architectural Drafting Technician II",77712
"11 - 20 years","Architectural renderer",82497
"11 - 20 years","Architectural Technologist",83497
"11 - 20 years","Archive Assistant",72173
"11 - 20 years","Archives and Records Manager",65497
"11 - 20 years","Archives Associate",45847
"11 - 20 years",Archivist,672981
"11 - 20 years","Archivist ",36597
"11 - 20 years","Area Director of Revenue Management",90000
"11 - 20 years","Area Lead Process Engineer",132000
"11 - 20 years","Area Manager",305000
"11 - 20 years",ARNP,142500
"11 - 20 years","Art Director",596786
"11 - 20 years","Art director ",61497
"11 - 20 years","Art Director of sub category",315000
"11 - 20 years","Art Handler",55097
"11 - 20 years","Art Restoration Technician",46497
"11 - 20 years","Art Teacher",57297
"11 - 20 years","articling student, accounting",58497
"11 - 20 years","Artist Manager",67000
"11 - 20 years","Arts Director",133497
"11 - 20 years","Asisstant Professor",68000
"11 - 20 years","ASL Interpreter and Transcriber",75497
"11 - 20 years","Assessment Content Specialist ",63497
"11 - 20 years","Assessment Coordinator",58497
"11 - 20 years","Assessment Developer ",83500
"11 - 20 years","Asset manager",91497
"11 - 20 years","Asset Protection ",45760
"11 - 20 years","Assiatant Professor",64000
"11 - 20 years",Assistant,82777
"11 - 20 years","Assistant Accountant",45497
"11 - 20 years","Assistant Actuary",126500
"11 - 20 years","Assistant Administrator",75560
"11 - 20 years","Assistant Attorney General",133497
"11 - 20 years","Assistant Bookkeeper",36150
"11 - 20 years","Assistant Branch Manager",128872
"11 - 20 years","Assistant Center Store Manager",57497
"11 - 20 years","Assistant Clinical Professor of Law",128497
"11 - 20 years","Assistant Commissioner",103497
"11 - 20 years","Assistant commissioner ",75497
"11 - 20 years","Assistant Communications Director",117997
"11 - 20 years","Assistant Controller",338057
"11 - 20 years","Assistant Controller ",220000
"11 - 20 years","Assistant Counsel",95497
"11 - 20 years","Assistant County Attorney",108497
"11 - 20 years","Assistant Curator ",38472
"11 - 20 years","Assistant Curator and Outreach Coordinator",43497
"11 - 20 years","Assistant Customer Service Manager",54000
"11 - 20 years","Assistant Dean",205933
"11 - 20 years","Assistant Dean for Undergraduate Admissions and Student Services",148497
"11 - 20 years","Assistant Dean of Admissions",113497
"11 - 20 years","Assistant Deputy Director",168497
"11 - 20 years","Assistant Deputy Minister",139797
"11 - 20 years","Assistant Designer ",46000
"11 - 20 years","Assistant Director",2031605
"11 - 20 years","Assistant Director ",1094673
"11 - 20 years","Assistant Director and District Consultant",94497
"11 - 20 years","Assistant Director Business Intelligence",95497
"11 - 20 years","Assistant Director Communication",123497
"11 - 20 years","Assistant Director of Academic Advising",127497
"11 - 20 years","Assistant Director of Admission",63497
"11 - 20 years","Assistant Director of annual fundraising",84000
"11 - 20 years","Assistant Director of Communication",226091
"11 - 20 years","Assistant Director of Development ",82497
"11 - 20 years","Assistant Director of Direct Marketing",97300
"11 - 20 years","Assistant Director of Education",55247
"11 - 20 years","Assistant Director of Education ",68497
"11 - 20 years","Assistant Director of HR",95497
"11 - 20 years","Assistant Director of Individual Giving",93475
"11 - 20 years","Assistant Director of Institutional Research",122497
"11 - 20 years","Assistant Director of Marketing, International Giving and Engagement",18597
"11 - 20 years","Assistant Director of Operations-Public Utilities",96497
"11 - 20 years","Assistant Director of Prospect Research",101143
"11 - 20 years","Assistant Director of Special Events",89497
"11 - 20 years","Assistant Director of the Social Work Department",90497
"11 - 20 years","Assistant Director, Academic  Advising",74497
"11 - 20 years","Assistant Director, Admissions Operations",76497
"11 - 20 years","Assistant Director, Brand, Marketing, and Communications",138497
"11 - 20 years","Assistant Director, communications",96497
"11 - 20 years","Assistant Director, Direct Marketing",78750
"11 - 20 years","Assistant Director, Health Promotion",85497
"11 - 20 years","Assistant Director, HR",60750
"11 - 20 years","Assistant Director, Human Resources",110397
"11 - 20 years","Assistant Director, Internship Program",55734
"11 - 20 years","Assistant Director, Operations and Events",68497
"11 - 20 years","Assistant Director, Professional School",76000
"11 - 20 years","Assistant Director, Student Affairs",63497
"11 - 20 years","Assistant District Attorney",105497
"11 - 20 years","Assistant District Attornry",133497
"11 - 20 years","Assistant Editor",118994
"11 - 20 years","Assistant English Professor",54497
"11 - 20 years","Assistant General Manager",58497
"11 - 20 years","Assistant General manager ",58080
"11 - 20 years","Assistant Headteacher ",61893
"11 - 20 years","Assistant Librarian",148741
"11 - 20 years","Assistant Librarian/Professor",76497
"11 - 20 years","Assistant Library Director",151994
"11 - 20 years","Assistant Manager",407804
"11 - 20 years","Assistant Manager ",46497
"11 - 20 years","Assistant Manager and Shift Supervisor",60000
"11 - 20 years","Assistant Manager, Subsidiary Rights",67497
"11 - 20 years","Assistant Managing Editor",312191
"11 - 20 years","Assistant Marketing Director",68000
"11 - 20 years","Assistant Media Relations Manager",45530
"11 - 20 years","Assistant Nurse Manager",167640
"11 - 20 years","Assistant Operations Manager and Lift Planner",71115
"11 - 20 years","Assistant Principal",160994
"11 - 20 years","Assistant principal ",242994
"11 - 20 years","Assistant Professor",3443386
"11 - 20 years","Assistant Professor (English Dept.)",56300
"11 - 20 years","Assistant Professor (Tenure-Track)",98497
